title,author,price
 【尚铭图书】漫画版机械里的科学课全10册 JST这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味,吉林出版集团股份有限公司,¥132.88
 【正版速发】C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版,电子工业出版社,¥77.00
 这就是数学全套8册 JST这就是系列几何生物地理物理化学计算机科普类书籍小学一二三四五六年级阅读课外书科学启蒙图画书10,北京理工大学出版社,¥806.00
 漫画版机械里的科学课全10册 JST这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕,吉林出版集团股份有限公司,¥128.00
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥101.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业 9787121,电子工业出版社,¥61.00
 数字媒体应用技术 杜明 尹枫 高等学校计算机类特色书籍 信息技术考试参考用书,电子工业出版社,¥44.00
 漫画版机械里的科学课全10册这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕的,吉林出版集团股份有限公司,¥86.43
 正版 数码产品网店运营秘笈 本书委会 书店 计算机类教材书籍 书 畅想畅销书,其他,¥56.00
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥77.19
 【尚铭图书】这就是数学全套8册 JST这就是系列几何生物地理物理化学计算机科普类书籍小学一二三四五六年级阅读课外书科学启,米菜童书,¥770.10
 人工智能书籍四本：深度学习（deep learning）+深度学习系统+深度学习与目标检测+神经网络与深度学习 计算机类,机械工业出版社,¥529.92
 漫画版机械里的科学课全10册 JST这就是火箭漫画书小学生课外阅读书籍飞机计算机科普类书籍小学一年级儿童趣味百科全书可怕,吉林出版集团股份有限公司,¥131.12
 数字媒体应用技术 杜明 尹枫 高等学校计算机类特色书籍 信息技术考试参考用书 电子工业正版全新,电子工业出版社,¥42.40
 C程序设计基础（英文版） 汪芳 张秀伟 魏英 薛菲菲 计算机类教材书籍 C语言基本语法编程基础 电子工业出版社,电子工业出版社,¥52.00
 这就是数学全套8册 JST这就是系列几何生物地理物理化学计算机科普类书籍小学一二三四五六年级阅读课外书科学启蒙图画书10,米莱童书,¥613.00
